timestamp,fit_power_T @ 0x24000B18,power_res @ 0x24001018,fit_power_W @ 0x24000B1C
29.965363,-0.006866,2.998949,0.000000
29.972400,0.001868,2.863009,-0.523333
29.976376,0.001868,2.926052,-0.523333
29.985316,-0.004449,2.941389,-0.942000
29.989279,-0.004449,2.941389,-0.942000
29.995839,-0.004449,2.941389,-0.942000
29.999888,-0.008405,2.941389,-0.523333
30.007852,-0.008405,2.918787,-0.523333
30.013376,-0.002692,3.131999,-1.779333
30.017502,-0.002692,3.045450,-1.779333
30.023153,-0.002692,2.707028,-1.779333
30.028547,-0.003406,2.955778,-6.175333
30.032965,-0.003406,2.948645,-6.175333
30.036996,-0.003406,2.948161,-6.175333
30.041066,-0.005548,2.812080,-7.012667
30.045730,-0.005548,2.939505,-7.012667
30.050459,-0.005548,2.960544,-7.012667
30.054950,-0.002911,2.863021,-4.186667
30.060750,-0.002911,2.830352,-4.186667
30.064668,-0.002911,2.925247,-6.384667
30.071813,-0.009723,3.304022,-6.384667
30.079150,-0.009723,2.954851,-6.384667
30.084513,-0.006976,2.891539,-11.618000
30.088918,-0.006976,3.269042,-11.618000
30.095174,-0.006976,2.881190,-11.618000
30.099201,-0.000989,3.451474,-17.374666
30.103281,-0.000989,2.930020,-17.374666
30.108854,-0.000989,2.955827,-17.374666
30.113092,-0.003461,2.918789,-19.782001
30.117042,-0.003461,2.796719,-19.782001
30.126078,-0.006537,2.793959,-19.363335
30.130298,-0.006537,2.793959,-19.363335
30.134541,-0.006537,2.793959,-19.363335
30.138584,-0.006537,2.793959,-19.363335
30.142526,-0.004999,2.793959,-27.841335
30.146962,-0.004999,2.793959,-27.841335
30.151127,-0.004999,2.793959,-24.387333
30.156948,-0.009723,4.071879,-24.387333
30.161364,-0.009723,3.222542,-24.387333
30.165724,-0.009723,2.857523,-26.794668
30.174221,-0.006702,3.264024,-26.794668
30.178318,-0.006702,3.040114,-34.644669
30.184207,-0.007416,4.289832,-34.644669
30.188343,-0.007416,3.117702,-34.644669
30.192266,-0.007416,3.132433,-30.458002
30.198838,0.002527,5.518177,-30.458002
30.202868,0.002527,3.312161,-30.458002
30.206970,0.002527,3.061795,-34.854000
30.212458,-0.014722,5.122274,-34.854000
30.217121,-0.014722,4.071269,-34.854000
30.222266,-0.014722,3.155058,-34.854000
30.226298,-0.008954,3.523515,-44.064671
30.230320,-0.008954,3.523515,-44.064671
30.234368,-0.008954,3.523515,-44.064671
30.238730,-0.004724,3.523515,-48.251335
30.242629,-0.004724,3.523515,-48.251335
30.247319,-0.004724,3.206879,-48.251335
30.251615,-0.004724,2.989135,-44.274002
30.255986,-0.013953,4.060783,-44.274002
30.261883,-0.013953,3.425992,-48.251335
30.268790,-0.004724,3.425992,-48.251335
30.276901,-0.004724,3.224896,-48.251335
30.280945,-0.008295,3.022481,-49.088669
